"","Candidate","Constituency","Party","State.name","Candidate.Sex","Candidate.Category","Candidate.Age","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex.Ratio..per.1000.","Average.Literacy","INCUMBENT_PARTY","Incumbency","Education","Total.Assets","Women","Winner","Criminal.Case","SeriousCrime"
"1039","GAURISHANKER","Etawah","BSP","Uttar Pradesh","M","SC",63,232030,2,638131,1416867,13,45.03817225,1581810,1457892,113961,870,"78.41%","SP",0,"Post Graduate",12280096,0,0,0,0
"1040","GAUTAM CHAUDHARY","Kaushambi","BJP","Uttar Pradesh","M","SC",44,30475,4,551601,1391312,10,39.64610382,1599596,1372381,220423,908,"61.28%",NA,0,"Graduate Professional",3518000,0,0,0,0
"1041","GAUTAM SINGH RAJPUT KUSHWAH","GWALIOR","RSMD","Madhya Pradesh","M","GEN",42,783,17,584549,1420728,23,41.14432882,2032036,1835299,141735,864,"76.65%","INC",0,NA,NA,NA,NA,NA,NA
"1042","GAVIT JEEVA PANDU","Dindori","CPM","Maharashtra","M","ST",60,105352,3,681630,1432938,9,47.56870151,6107187,5237009,693052,934,"82.31%",NA,0,"Graduate",4679319,0,0,6,1
"1043","GAVIT MANIKRAO HODLYA","Nandurbar","INC","Maharashtra","M","ST",75,275936,1,766293,1455543,7,52.6465381,1648295,1521618,96182,978,"64.38%","INC",1,"5th Pass",41064753,0,1,0,0
"1044","GAVIT SHARAD KRUSHNRAO","Nandurbar","SP","Maharashtra","M","ST",46,235093,2,766293,1455543,7,52.6465381,1648295,1521618,96182,978,"64.38%","INC",0,"Graduate",6253087,0,0,2,1
"1045","GAVURAPPA. K.","Krishnagiri","IND","Tamil Nadu","M","SC",55,1075,16,752586,1014758,16,74.16408641,1879809,1723737,115303,958,"71.46%","DMK",0,NA,NA,NA,NA,NA,NA
"1046","GAWAI RAJENDRA RAMKRUSHNA","Amravati","RPI","Maharashtra","M","SC",46,252570,2,732574,1423855,22,51.45004231,2888445,2055177,421410,951,"87.38%","SHS",0,"Graduate Professional",5038450,0,0,0,0
"1047","GAYA PRASAD","Barabanki","IND","Uttar Pradesh","M","SC",50,5792,7,743567,1422218,15,52.2822099,3260699,2505444,737106,910,"61.75%","BSP",0,"5th Pass",1240225,0,0,0,0
"1048","GAYA PRASAD","Kanpur","IND","Uttar Pradesh","M","GEN",55,365,17,512921,1390055,18,36.89933132,1796184,1612968,176327,862,"79.65%","INC",0,"Others",344500,0,0,0,0
"1049","GAYA PRASAD","Sitapur","CPI(ML)(L)","Uttar Pradesh","M","SC",50,1767,13,705007,1230078,16,57.31400773,4483992,3555450,893725,888,"61.12%","BSP",0,"Graduate",1103431,0,0,0,0
"1050","GAYADEEN","Ambedkar Nagar","IND","Uttar Pradesh","M","SC",43,3928,10,811692,1494838,22,54.29966324,2397888,1985654,401678,978,"72.23%",NA,0,"8th Pass",575000,0,0,0,0
"1051","GAYATHRI.S","Thiruvallur","DMK","Tamil Nadu","F","SC",30,336621,2,849754,1204209,14,70.56532545,3728104,3325823,143093,987,"84.03%",NA,0,NA,NA,NA,NA,NA,NA
"1052","GAZI ATEZAD AHMED MUBEEN AHMED KHAN","Dhule","IND","Maharashtra","M","GEN",57,2348,9,670196,1575225,15,42.54604898,2050862,1825460,187901,946,"72.80%","INC",0,"8th Pass",25000,0,0,0,0
"1053","GEETA SINGH","Jaunpur","RDMP","Uttar Pradesh","F","GEN",46,1173,15,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,"71.55%","SP",0,"Graduate Professional",1600000,1,0,0,0
"1054","GENDA LAL PAL","Mainpuri","RALP","Uttar Pradesh","M","GEN",56,2004,8,695980,1399259,15,49.73918338,1868529,1746649,100723,881,"75.99%","SP",0,"10th Pass",825000,0,0,0,0
"1055","GENDAN LAL","Rampur","IND","Uttar Pradesh","M","GEN",42,676,15,606179,1154544,16,52.50375906,2335819,1073890,1181337,909,"53.34%","SP",0,"8th Pass",175000,0,0,0,0
"1056","GHAN SHYAM SINGH LODHI","Rampur","BSP","Uttar Pradesh","M","GEN",48,95132,3,606179,1154544,16,52.50375906,2335819,1073890,1181337,909,"53.34%","SP",0,"8th Pass",12493082,0,0,0,0
"1057","GHANSHYAM CHANDEL","INDORE","IND","Madhya Pradesh","M","SC",50,1434,10,797049,1570094,18,50.76441283,3276697,2728225,415142,928,"80.87%","BJP",0,NA,NA,NA,NA,NA,NA
"1058","GHANSHYAM SHARMA","Gautam buddh Nagar","RWS","Uttar Pradesh","M","GEN",34,551,21,739047,1522397,26,48.54495903,1648115,1394025,215500,851,"80.12%",NA,0,NA,NA,NA,NA,NA,NA
"1059","GHANSYAM ANURAGI","Jalaun","SP","Uttar Pradesh","M","SC",35,283023,1,797678,1684988,16,47.34027779,1689974,1509708,171581,865,"73.75%","BJP",0,"Post Graduate",6350833,0,1,2,1
"1060","GHATAK MOLOY","Asansol","AITC","West Bengal","M","GEN",52,362205,2,893775,1250052,7,71.49902564,7717563,6008472,1599764,NA,NA,"CPM",0,NA,NA,NA,NA,NA,NA
"1061","GHORPADE SAVEETA ASHOK","Baramati","IND","Maharashtra","F","GEN",29,1323,17,735381,1593460,17,46.14995042,9429408,8090254,673704,915,"86.15%","NCP",0,"Literate",2001500,1,0,0,0
"1062","GHOSH BABU SAW","Baharampur","RPI(A)","West Bengal","M","GEN",40,3823,6,952232,1179938,8,80.70186739,7103807,2359061,4707573,958,"66.59%","INC",0,NA,NA,NA,NA,NA,NA
"1063","GHOSH MRIDUL","Balurghat","AUDF","West Bengal","M","GEN",30,10460,5,875956,1010224,8,86.7090863,1676276,1232850,412788,956,"72.82%","RSP",0,NA,NA,NA,NA,NA,NA
"1064","GIRAJA SHANKAR YADAVA","Jaunpur","GGP","Uttar Pradesh","M","GEN",49,1048,16,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,"71.55%","SP",0,"Others",1141655,0,0,0,0
"1065","GIRDHARILAL","Hamirpur","NELU","Uttar Pradesh","M","SC",70,1804,15,725511,1498840,16,48.40483307,1104285,1010014,91269,861,"68.77%","SP",0,"Not Given",110000,0,0,0,0
"1066","GIREESH BHARTIYA","Etawah","IND","Uttar Pradesh","M","SC",38,811,11,638131,1416867,13,45.03817225,1581810,1457892,113961,870,"78.41%","SP",0,"5th Pass",30000,0,0,0,0
"1067","GIRIJA SHANKER.R","Chennai central","IND","Tamil Nadu","F","GEN",61,844,12,610808,1000705,37,61.03776837,4646732,3751322,439270,989,"90.18%","DMK",0,NA,NA,NA,NA,NA,NA
"1068","GIRIRAJ.D","Chennai North","IND","Tamil Nadu","M","GEN",42,709,16,659920,1016663,29,64.91039804,4646732,3751322,439270,989,"90.18%","DMK",0,"5th Pass",70000,0,0,0,0
"1069","GIRIRAJAN M","Chennai South","IND","Tamil Nadu","M","GEN",41,1197,9,728113,1162062,43,62.65698388,4646732,3751322,439270,989,"90.18%","DMK",0,"10th Pass",110000,0,0,0,0
"1070","GIRISH CHANDRA PASI","Kaushambi","BSP","Uttar Pradesh","M","SC",39,190712,2,551601,1391312,10,39.64610382,1599596,1372381,220423,908,"61.28%",NA,0,"Graduate",2407001,0,0,9,1
"1071","GIRISH CHANDRA SRIVASTAV","Lucknow","IND","Uttar Pradesh","M","GEN",62,477,20,584055,1653123,41,35.33040191,4589838,3537787,985070,917,"77.29%","BJP",0,"12th Pass",2901500,0,0,0,0
"1072","GIRISH CHANDRA VERMA","Faizabad","AD","Uttar Pradesh","M","GEN",32,3837,11,749172,1500160,23,49.93947312,2470996,2094271,365806,962,"68.73%","BSP",0,"Graduate",3031000,0,0,0,0
"1073","GIRJA SINGH PATEL","SATNA","AD","Madhya Pradesh","M","GEN",49,1560,20,659614,1207500,21,54.62641822,2228935,2158623,59471,926,"72.26%","BJP",0,NA,NA,NA,NA,NA,NA
"1074","GNANAPRAGASHAM, P.S.","Perambalur","IND","Tamil Nadu","M","GEN",46,3720,6,832427,1049033,21,79.35184117,565223,521658,32702,1003,"74.32%","DMK",0,"Not Given",0,0,0,0,0
"1075","GOBINDA CHANDRA NASKAR","Bangaon","AITC","West Bengal","M","SC",67,546596,1,1078340,1246979,7,86.47619567,10009781,7352769,2584684,955,"84.06%",NA,0,"Post Graduate",2549515,0,1,0,0
"1076","GOBINDA HANSDA","Balurghat","BSP","West Bengal","M","ST",47,13977,4,875956,1010224,8,86.7090863,1676276,1232850,412788,956,"72.82%","RSP",0,NA,NA,NA,NA,NA,NA
"1077","GODE NARAYAN SHAHUJI","Chandrapur","IND","Maharashtra","M","GEN",42,3358,14,899430,1536352,23,58.54322447,2204307,1780085,92297,961,"80.01%","BJP",0,"Literate",2165975,0,0,0,0
"1078","GODSE HEMANT TUKARAM","Nashik","MNS","Maharashtra","M","GEN",38,216674,2,657890,1448414,12,45.42140576,6107187,5237009,693052,934,"82.31%","NCP",0,"Others",19966017,0,0,0,0
"1079","GOMAT SINGH MAHARAJ SINGH DANGI","SAGAR","IND","Madhya Pradesh","M","GEN",71,2390,7,570331,1185166,12,48.12245711,2378458,2198297,103480,893,"76.46%","BJP",0,NA,NA,NA,NA,NA,NA
"1080","GOPAL","Bahraich","SBSP","Uttar Pradesh","M","SC",49,5893,6,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,"49.36%","SP",0,"Graduate Professional",345000,0,0,0,0
"1081","GOPAL BHAIYA","DAMOH","IND","Madhya Pradesh","M","GEN",45,1794,15,599184,1357985,21,44.1230205,1264219,1186420,47966,910,"69.73%","BJP",0,NA,NA,NA,NA,NA,NA
"1082","GOPAL R","Madurai","IND","Tamil Nadu","M","GEN",56,836,10,792122,1022421,12,77.47513011,3038252,2760502,168881,990,"83.45%","CPM",0,"8th Pass",33000,0,0,0,0
"1083","GOPAL RAGHUNATH JAMSANDEKAR","Mumbai North","IND","Maharashtra","M","GEN",63,496,22,685454,1608924,23,42.60325534,3085411,1873762,773173,832,"89.21%","INC",0,"8th Pass",140908,0,0,0,0
"1084","GOPAL RAUT","Barrackpore","IND","West Bengal","M","GEN",40,2872,10,870178,1081237,10,80.47985779,10009781,7352769,2584684,955,"84.06%","CPM",0,NA,NA,NA,NA,NA,NA
"1085","GOPAL SAINI ALIAS MANAGER","Mathura","IND","Uttar Pradesh","M","GEN",25,399,15,726515,1341649,16,54.15089938,2547184,2310776,216933,863,"70.36%","INC",0,NA,NA,NA,NA,NA,NA
"1086","GOPAL SWROOP JOSHI","Allahabad","IND","Uttar Pradesh","M","GEN",62,1099,20,550217,1267492,31,43.40989923,5954391,5102041,796756,901,"72.32%","SP",0,"Graduate",1095000,0,0,0,0
"1087","GOPALAKRISHNAN   C","Vellore","IND","Tamil Nadu","M","GEN",36,4822,7,724156,1010067,24,71.69385793,3936331,3397857,414760,1007,"79.17%","DMK",0,NA,NA,NA,NA,NA,NA
"1088","GOPESH CHANDRA SARKAR","Raiganj","BJP","West Bengal","M","GEN",66,37645,3,898839,1108382,12,81.09469479,3007134,1482943,1501170,939,"59.07%","INC",0,NA,NA,NA,NA,NA,NA
"1089","GOPINATH V","Chennai South","DMDK","Tamil Nadu","M","GEN",36,67291,3,728113,1162062,43,62.65698388,4646732,3751322,439270,989,"90.18%","DMK",0,"Graduate Professional",30999000,0,0,0,0
"1090","GORA CHAND KOLEY","Howrah","IND","West Bengal","M","GEN",42,1000,15,994203,1344746,15,73.93240062,4850029,3535844,1270641,939,"83.31%","CPM",0,"8th Pass",1045000,0,0,0,0
"1091","GORAKH PRASAD JAISWAL","Deoria","BSP","Uttar Pradesh","M","GEN",72,219889,1,717632,1580745,12,45.39834066,3100946,2730957,358539,1017,"71.13%","SP",0,"10th Pass",24217040,0,1,0,0
"1092","GORAKHNATH","Bhadohi","BSP","Uttar Pradesh","M","GEN",56,195808,1,659240,1519449,13,43.38678034,4092845,3508131,556219,868,"64.57%",NA,0,"Post Graduate",10158748,0,1,0,0
"1093","GOURI SINGH YADAV","SAGAR","SP","Madhya Pradesh","M","GEN",59,12716,3,570331,1185166,12,48.12245711,2378458,2198297,103480,893,"76.46%","BJP",0,NA,NA,NA,NA,NA,NA
"1094","GOUTAM DAS","Asansol","LJP","West Bengal","M","GEN",31,10181,6,893775,1250052,7,71.49902564,7717563,6008472,1599764,NA,NA,"CPM",0,"12th Pass",221298,0,0,0,0
"1095","GOUTAM GAYEN","Howrah","IND","West Bengal","M","SC",27,1423,11,994203,1344746,15,73.93240062,4850029,3535844,1270641,939,"83.31%","CPM",0,"8th Pass",7000,0,0,0,0
"1096","GOVANAM THANGAVEL K S","Salem","IND","Tamil Nadu","M","GEN",50,854,18,895858,1171839,23,76.44889784,3482056,3326357,95487,954,"72.86%","INC",0,"Literate",225000,0,0,0,0
"1097","GOVANAM THANGAVEL.K.S.","Erode","IND","Tamil Nadu","M","GEN",50,1055,22,767466,1010079,25,75.98078962,2251744,2115455,76098,993,"72.58%",NA,0,"Literate",225000,0,0,0,0
"1098","GOVARDHAN CHANGO BHAGAT","Kalyan","IND","Maharashtra","M","GEN",64,1154,14,544997,1588507,20,34.30875659,11060148,8716055,1355630,886,"84.53%",NA,0,"8th Pass",56677052,0,0,3,1
"1099","GOVARDHAN PATLE URF HITLAR","BALAGHAT","IND","Madhya Pradesh","M","SC",75,4034,14,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,"77.09%","BJP",0,NA,NA,NA,NA,NA,NA
"1100","GOVIND","Gorakhpur","IND","Uttar Pradesh","M","SC",43,4829,7,750975,1696474,26,44.26681458,4440895,4009037,403847,950,"70.83%","BJP",0,"Illiterate",4202000,0,0,0,0
"1101","GOVIND","Sitapur","KKJHS","Uttar Pradesh","M","GEN",37,4185,8,705007,1230078,16,57.31400773,4483992,3555450,893725,888,"61.12%","BSP",0,"Post Graduate",892623,0,0,0,0
"1102","GOVIND PRASAD MISHRA","SIDHI","BJP","Madhya Pradesh","M","GEN",60,270914,1,675876,1358291,11,49.75929311,1127033,1077545,34419,957,"64.43%","BJP",1,NA,NA,NA,NA,NA,NA
"1103","GOVINDARAJ. S.","Dharmapuri","IND","Tamil Nadu","M","GEN",48,1944,16,778160,1069601,21,72.7523628,1506843,1452956,38304,946,"68.54%","PMK",0,NA,NA,NA,NA,NA,NA
"1104","GOVINDARAJAN K M","Kallakurichi","AIVP","Tamil Nadu","M","GEN",73,2082,16,854955,1106352,29,77.2769426,3458873,3174941,133896,987,"71.88%",NA,0,NA,NA,NA,NA,NA,NA
"1105","GOVINDARAJAN. V.","Krishnagiri","IND","Tamil Nadu","M","GEN",42,1885,12,752586,1014758,16,74.16408641,1879809,1723737,115303,958,"71.46%","DMK",0,NA,NA,NA,NA,NA,NA
"1106","GOVINDARAJI P V","Vellore","SP","Tamil Nadu","M","GEN",40,1161,13,724156,1010067,24,71.69385793,3936331,3397857,414760,1007,"79.17%","DMK",0,"12th Pass",2750000,0,0,0,0
"1107","GOVINDASAMY. P","Tiruvannamalai","BSP","Tamil Nadu","M","SC",63,4731,8,840875,1052587,30,79.88650819,2464875,2294369,91636,994,"74.21%","DMK",0,"Post Graduate",2882824,0,0,0,0
"1108","GOVINDHASAMY.P.","Erode","IND","Tamil Nadu","M","SC",45,2037,12,767466,1010079,25,75.98078962,2251744,2115455,76098,993,"72.58%",NA,0,"5th Pass",30580,0,0,0,0
"1109","GUDDU PREMCHAND","UJJAIN","INC","Madhya Pradesh","M","SC",41,326905,1,667598,1253686,9,53.250814,1986864,1718204,233133,955,"72.34%","BJP",0,NA,NA,NA,NA,NA,NA
"1110","GUFRAN  AHMED","Kanpur","RWSP","Uttar Pradesh","M","GEN",49,450,15,512921,1390055,18,36.89933132,1796184,1612968,176327,862,"79.65%","INC",0,NA,NA,NA,NA,NA,NA
"1111","GUJAR KHAN MIRZA KHAN","Beed","IND","Maharashtra","M","GEN",28,5794,9,1073989,1637239,21,65.59757006,2585049,2174672,320395,916,"76.99%","NCP",0,NA,NA,NA,NA,NA,NA
"1112","GULAB","Robertsganj","PDFO","Uttar Pradesh","M","SC",31,9951,6,598810,1214735,10,49.29552536,2496970,2292534,195765,903,"68.48%","BSP",0,"Others",2547000,0,0,2,0
"1113","GULAB CHANDRA","Kaushambi","IND","Uttar Pradesh","M","SC",39,2500,10,551601,1391312,10,39.64610382,1599596,1372381,220423,908,"61.28%",NA,0,"5th Pass",150000,0,0,0,0
"1114","GULAB GRAMEEN","Allahabad","LD","Uttar Pradesh","M","GEN",47,1130,19,550217,1267492,31,43.40989923,5954391,5102041,796756,901,"72.32%","SP",0,NA,NA,NA,NA,NA,NA
"1115","GULAB SONKAR","Kaushambi","IJP","Uttar Pradesh","M","SC",45,2975,9,551601,1391312,10,39.64610382,1599596,1372381,220423,908,"61.28%",NA,0,"Graduate",243000,0,0,0,0
"1116","GULAB TATYA WAGHMODE","Pune","BBM","Maharashtra","M","GEN",47,2354,7,735071,1806953,36,40.68013944,9429408,8090254,673704,915,"86.15%","INC",0,"Post Graduate",2677000,0,0,0,0
"1117","GULABRAV","BETUL","RDMP","Madhya Pradesh","M","ST",53,976,16,636569,1286761,16,49.47064762,1575362,1505745,37590,971,"68.90%","BJP",0,NA,NA,NA,NA,NA,NA
"1118","GULAM SABIR","Faizabad","NBNP","Uttar Pradesh","M","GEN",42,7522,7,749172,1500160,23,49.93947312,2470996,2094271,365806,962,"68.73%","BSP",0,"5th Pass",1864000,0,0,0,0
"1119","GULZAR","Baghpat","ASP","Uttar Pradesh","M","GEN",44,2288,6,613847,1280602,16,47.9342528,1303048,917474,364583,861,"72.01%","RLD",0,NA,NA,NA,NA,NA,NA
"1120","GUNASEKARAN   P","Sivaganga","IND","Tamil Nadu","M","GEN",47,3001,9,775416,1092438,20,70.98032108,1339101,1186078,74310,1003,"79.85%","INC",0,NA,NA,NA,NA,NA,NA
"1121","GUNASEKARAN N","Mayiladuthurai","CPI(ML)(L)","Tamil Nadu","M","SC",47,2262,12,799586,1091519,23,73.254428,1616450,1435072,128617,NA,NA,"INC",0,"Not Given",0,0,0,0,0
"1122","GUNASEKARAN, A.","Perambalur","IND","Tamil Nadu","M","SC",36,2645,10,832427,1049033,21,79.35184117,565223,521658,32702,1003,"74.32%","DMK",0,"Post Graduate",71500,0,0,0,0
"1123","GUNASEKARAN. D","Dharmapuri","MMKA","Tamil Nadu","M","SC",38,1726,17,778160,1069601,21,72.7523628,1506843,1452956,38304,946,"68.54%","PMK",0,"Post Graduate",270000,0,0,0,0
"1124","GUNASEKARAN.K","Tiruchirappalli","AIVP","Tamil Nadu","M","GEN",59,730,21,718714,1067193,24,67.34620636,2722290,2279413,190964,1013,"83.23%","MDMK",0,NA,NA,NA,NA,NA,NA
"1125","GUNASEKARAN.M","Chennai central","IND","Tamil Nadu","M","GEN",46,232,28,610808,1000705,37,61.03776837,4646732,3751322,439270,989,"90.18%","DMK",0,NA,NA,NA,NA,NA,NA
"1126","GUNDEKAR SANJAY ADELU","Hingoli","IND","Maharashtra","M","SC",35,3027,10,817543,1369774,11,59.6845173,1177345,863199,127552,942,"78.17%","NCP",0,"Not Given",0,0,0,0,0
"1127","GUNWANT TUKARAMJI DAWANDE","Wardha","IND","Maharashtra","M","GEN",70,1233,10,769255,1408781,16,54.60429975,1300774,1057096,53854,946,"86.99%","BJP",0,"Graduate",72000,0,0,0,0
"1128","GURAV KALYAN BHANUDAS","Beed","RKSP","Maharashtra","M","GEN",62,1981,16,1073989,1637239,21,65.59757006,2585049,2174672,320395,916,"76.99%","NCP",0,"10th Pass",0,0,0,1,0
"1129","GURU (A) GURUMOORTHY S","Tiruvannamalai","IND","Tamil Nadu","M","SC",31,4927,7,840875,1052587,30,79.88650819,2464875,2294369,91636,994,"74.21%","DMK",0,"12th Pass",18500,0,0,0,0
"1130","GURU (A) GURUNATHAN. J","Tiruvannamalai","PMK","Tamil Nadu","M","GEN",48,288566,2,840875,1052587,30,79.88650819,2464875,2294369,91636,994,"74.21%","DMK",0,NA,NA,NA,NA,NA,NA
"1131","GURU C","Tiruvannamalai","IND","Tamil Nadu","M","GEN",32,2903,12,840875,1052587,30,79.88650819,2464875,2294369,91636,994,"74.21%","DMK",0,"8th Pass",302000,0,0,0,0
"1132","GURUDAS DASGUPTA","Ghatal","CPI","West Bengal","M","GEN",73,625923,1,1170099,1354861,7,86.36302912,5095875,4343972,743436,938,"87.02%",NA,0,NA,NA,NA,NA,NA,NA
"1133","GURUMURTHY S","Nilgiris","BJP","Tamil Nadu","M","SC",29,18690,5,710186,1003168,14,70.79432358,735394,569477,78452,1042,"85.20%","INC",0,"12th Pass",2235500,0,0,3,1
"1134","GURUNATH UNDRYA NAIK","Bhiwandi","IND","Maharashtra","M","GEN",32,1899,11,584379,1483176,16,39.40051619,11060148,8716055,1355630,886,"84.53%",NA,0,NA,NA,NA,NA,NA,NA
"1135","GURUSWAMY P","Tiruvannamalai","IND","Tamil Nadu","M","GEN",61,1426,17,840875,1052587,30,79.88650819,2464875,2294369,91636,994,"74.21%","DMK",0,NA,NA,NA,NA,NA,NA
"1136","GYAN TIWARI","Sitapur","BJP","Uttar Pradesh","M","GEN",41,81577,4,705007,1230078,16,57.31400773,4483992,3555450,893725,888,"61.12%","BSP",0,"Graduate",13139861,0,0,1,1
"1137","HABIB SURUR","KHANDWA","MUL","Madhya Pradesh","M","GEN",54,1529,9,813129,1355325,13,59.99513032,1310061,1182330,116277,943,"66.39%","BJP",0,NA,NA,NA,NA,NA,NA
"1138","HAFEEZ","Kaiserganj","AD","Uttar Pradesh","M","GEN",47,1907,16,565659,1376267,23,41.10096369,3487731,2291892,1169330,892,"49.36%","SP",0,"8th Pass",1880000,0,0,0,0
"1139","HAJARI LAL KOTIA RATHOR","GUNA","IND","Madhya Pradesh","M","GEN",38,4493,6,649981,1202772,18,54.04025036,1241519,1172248,49203,912,"63.23%","INC",0,NA,NA,NA,NA,NA,NA
"1140","HAJEE SYID MUEEN UDDIN","HOSHANGABAD","SP","Madhya Pradesh","M","GEN",47,3808,7,711458,1297404,10,54.83704382,1241350,1175203,52269,914,"75.29%","BJP",0,NA,NA,NA,NA,NA,NA
"1141","HAJI MOHAMMED TAUSEEF","Saharanpur","PECP","Uttar Pradesh","M","GEN",45,9214,5,821122,1298132,15,63.25412208,3466382,1966892,1454052,890,"70.49%","SP",0,"Graduate",21790000,0,0,1,1
"1142","HAJI NISAR AHMED CHOUDHARY","MANDSOUR","IND","Madhya Pradesh","M","GEN",75,1362,12,765496,1371067,12,55.83213658,1340411,1192588,125548,963,"71.78%","BJP",0,NA,NA,NA,NA,NA,NA
"1143","HAJI NOORULLA","KHANDWA","LJP","Madhya Pradesh","M","GEN",46,1181,13,813129,1355325,13,59.99513032,1310061,1182330,116277,943,"66.39%","BJP",0,NA,NA,NA,NA,NA,NA
"1144","HAJI RASHID HUSAIN","Sambhal","MUL","Uttar Pradesh","M","GEN",50,4827,6,681957,1290810,11,52.83171032,4772006,2488265,2248392,906,"56.77%","SP",0,"5th Pass",6490801,0,0,0,0
"1145","HAJI ZAKIR HUSSAIN DURRANY ENGINEER","KHANDWA","CPI","Madhya Pradesh","M","GEN",46,18729,4,813129,1355325,13,59.99513032,1310061,1182330,116277,943,"66.39%","BJP",0,NA,NA,NA,NA,NA,NA
"1146","HAKE BHANUDAS KISAN","Ahmadnagar","RSPS","Maharashtra","M","GEN",55,3329,11,787330,1517951,15,51.86794567,4543159,4107143,320743,939,"79.05%","NCP",0,NA,NA,NA,NA,NA,NA
"1147","HAKEEM KHAN","Hamirpur","BAP","Uttar Pradesh","M","GEN",56,7593,6,725511,1498840,16,48.40483307,1104285,1010014,91269,861,"68.77%","SP",0,"8th Pass",1448000,0,0,0,0
"1148","HAKIM SINGH YADAV","Mainpuri","CPI","Uttar Pradesh","M","GEN",65,4168,5,695980,1399259,15,49.73918338,1868529,1746649,100723,881,"75.99%","SP",0,"Graduate Professional",4175000,0,0,0,0
"1149","HANMANTE VIJAY CHANDRAO","Nanded","IND","Maharashtra","M","SC",35,2868,9,774686,1439015,22,53.83446316,3361292,2501741,471951,943,"75.45%","BJP",0,"Literate",10000,0,0,0,0
"1150","HANNAN MOLLAH","Uluberia","CPM","West Bengal","M","GEN",63,415257,2,1009851,1251590,9,80.68544811,4850029,3535844,1270641,939,"83.31%","CPM",1,"Post Graduate",6208199,0,0,0,0
"1151","HANS KUMAR","Mirzapur","IND","Uttar Pradesh","M","GEN",37,6485,10,733350,1405539,27,52.17571337,2496970,2292534,195765,903,"68.48%","BSP",0,"Not Given",125000,0,0,1,0
"1152","HANUMAN","Maharajganj","IND","Uttar Pradesh","M","SC",51,10167,6,839577,1509167,15,55.63181543,2684703,2196884,458650,943,"62.76%","BJP",0,"Not Given",647860,0,0,0,0
"1153","HAR SWAROOP SHARMA","Moradabad","RSMD","Uttar Pradesh","M","GEN",56,1536,14,761009,1388525,18,54.80700744,4772006,2488265,2248392,906,"56.77%","SP",0,"Post Graduate",6515500,0,0,0,0
"1154","HARBHAJAN JANGRE","VIDISHA","LJP","Madhya Pradesh","M","SC",33,5054,6,556434,1233394,8,45.11405115,1458875,1287391,149548,896,"70.53%","BJP",0,NA,NA,NA,NA,NA,NA
"1155","HARE RAM FAUJI","Sitapur","JPS","Uttar Pradesh","M","GEN",44,7420,6,705007,1230078,16,57.31400773,4483992,3555450,893725,888,"61.12%","BSP",0,"Not Given",1760000,0,0,0,0
"1156","HAREE PRASAD SONKER","Lalganj","CPI","Uttar Pradesh","M","SC",50,12957,6,658563,1509536,11,43.62684957,4613913,3878626,718692,1019,"70.93%","SP",0,NA,NA,NA,NA,NA,NA
"1157","HAREKRISHNA SARKAR","Cooch behar","RPI(A)","West Bengal","M","SC",37,3405,9,1121803,1329086,10,84.40409424,2819086,2087766,720033,942,"74.78%","AIFB",0,NA,NA,NA,NA,NA,NA
"1158","HARENDRA KUMAR","Bahraich","JPS","Uttar Pradesh","M","SC",31,3943,8,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,"49.36%","SP",0,"Post Graduate",23500,0,0,0,0
"1159","HARENDRA SINGH BURMAN","Aligarh","LPSP","Uttar Pradesh","M","GEN",35,1878,9,692645,1345351,23,51.48433383,3673889,2904140,729283,882,"67.52%","INC",0,"Post Graduate",1511000,0,0,0,0
"1160","HARGOVIND RAWAT (PASI)","Sitapur","IND","Uttar Pradesh","M","SC",72,6324,7,705007,1230078,16,57.31400773,4483992,3555450,893725,888,"61.12%","BSP",0,"12th Pass",2011386,0,0,0,0
"1161","HARI BHAKTA SARDAR","Jalpaiguri","IND","West Bengal","M","SC",54,19295,5,1031822,1252142,10,82.40455156,3872846,3156781,445817,NA,NA,"CPM",0,NA,NA,NA,NA,NA,NA
"1162","HARI KRISHNAN S","Tiruvannamalai","IND","Tamil Nadu","M","SC",41,2110,14,840875,1052587,30,79.88650819,2464875,2294369,91636,994,"74.21%","DMK",0,"Not Given",201000,0,0,0,0
"1163","HARI LAL","Chandauli","IND","Uttar Pradesh","M","SC",52,3143,11,671208,1446259,18,46.40994455,1952756,1727869,215081,918,"71.48%","BSP",0,"8th Pass",180000,0,0,0,0
"1164","HARI NARAYAN","Sultanpur","IND","Uttar Pradesh","M","GEN",70,7905,6,707855,1430955,16,49.46731379,3797117,3119590,650261,983,"69.27%","BSP",0,"Graduate Professional",2755000,0,0,0,0
"1165","HARI SHANKAR SHARMA","Ghaziabad","BPD","Uttar Pradesh","M","GEN",63,541,16,829842,1831688,16,45.30476806,4681645,3414427,1186776,881,"78.07%",NA,0,"Doctorate",16964367,0,0,0,0
"1166","HARI SINGH MARAVI","JABALPUR","GMS","Madhya Pradesh","M","ST",36,3943,6,633495,1446345,11,43.79971584,2463289,2159065,203652,929,"81.07%","BJP",0,NA,NA,NA,NA,NA,NA
